Date_Time;h[m];h_nonsys_uncertainty[m];h_sys_resampling_indices;h_sys_uncertainty[m]
2022/06/19 15:23:20;0.434;0.01;0;0.01
2022/06/19 16:40:00;0.432;0.01;0;0.01
2022/06/19 17:53:20;0.429;0.01;0;0.01
2022/06/19 19:03:20;0.427;0.01;0;0.01
2022/06/19 20:05:00;0.426;0.01;0;0.01
2022/06/19 20:58:20;0.428;0.01;0;0.01
2022/06/19 21:41:40;0.431;0.01;0;0.01
2022/06/19 22:10:00;0.435;0.01;0;0.01
2022/06/19 22:31:40;0.439;0.01;0;0.01
2022/06/19 22:50:00;0.442;0.01;0;0.01
2022/06/19 23:10:00;0.444;0.01;0;0.01
2022/06/19 23:37:00;0.445;0.01;0;0.01
2022/06/20 00:12:00;0.445;0.01;0;0.01
2022/06/20 01:20:20;0.446;0.01;0;0.01
2022/06/20 02:51:40;0.447;0.01;0;0.01
2022/06/20 04:51:40;0.448;0.01;0;0.01
2022/06/20 06:48:20;0.448;0.01;0;0.01
2022/06/20 08:41:40;0.447;0.01;0;0.01
2022/06/20 10:16:40;0.447;0.01;1;0.01
2022/06/20 11:31:40;0.446;0.01;1;0.01
2022/06/20 12:36:40;0.446;0.01;1;0.01
2022/06/20 13:50:00;0.446;0.01;1;0.01
2022/06/20 15:38:20;0.446;0.01;1;0.01
2022/06/20 17:56:40;0.446;0.01;1;0.01
2022/06/20 20:41:40;0.447;0.01;1;0.01
2022/06/20 23:21:40;0.447;0.01;1;0.01
2022/06/21 02:06:40;0.447;0.01;1;0.01
2022/06/21 04:40:00;0.445;0.01;1;0.01
2022/06/21 07:03:20;0.444;0.01;1;0.01
2022/06/21 08:56:40;0.443;0.01;1;0.01
2022/06/21 10:20:00;0.442;0.01;1;0.01
2022/06/21 11:26:40;0.441;0.01;1;0.01
2022/06/21 12:15:00;0.441;0.01;1;0.01
2022/06/21 13:16:40;0.44;0.01;1;0.01
2022/06/21 14:33:20;0.44;0.01;1;0.01
2022/06/21 16:16:40;0.439;0.01;1;0.01
2022/06/21 18:16:40;0.438;0.01;1;0.01
2022/06/21 20:51:40;0.438;0.01;1;0.01
2022/06/22 00:13:20;0.438;0.01;1;0.01
2022/06/22 03:48:20;0.438;0.01;1;0.01
2022/06/22 06:46:40;0.438;0.01;1;0.01
2022/06/22 08:40:00;0.438;0.01;1;0.01
2022/06/22 09:40:00;0.439;0.01;1;0.01
2022/06/22 10:21:40;0.44;0.01;1;0.01
2022/06/22 11:11:40;0.441;0.01;1;0.01
2022/06/22 12:23:20;0.442;0.01;1;0.01
2022/06/22 14:11:40;0.442;0.01;1;0.01
2022/06/22 16:15:00;0.441;0.01;1;0.01
2022/06/22 18:28:20;0.441;0.01;1;0.01
2022/06/22 20:40:00;0.442;0.01;1;0.01
2022/06/22 23:13:20;0.442;0.01;1;0.01
2022/06/23 02:08:20;0.442;0.01;1;0.01
2022/06/23 04:38:20;0.442;0.01;1;0.01
2022/06/23 06:26:40;0.441;0.01;1;0.01
2022/06/23 07:33:20;0.441;0.01;1;0.01
2022/06/23 08:33:20;0.44;0.01;1;0.01
2022/06/23 09:20:00;0.44;0.01;1;0.01
2022/06/23 10:06:40;0.439;0.01;1;0.01
2022/06/23 11:16:40;0.438;0.01;1;0.01
2022/06/23 12:56:40;0.438;0.01;1;0.01
2022/06/23 14:53:20;0.437;0.01;1;0.01
2022/06/23 16:25:00;0.436;0.01;1;0.01
